timestamp,gyro_x,gyro_y,gyro_z
1523423970155,0.006924219,-0.0026631611,-0.021837922
1523423970160,0.020506341,-0.041012682,-0.25672874
1523423970163,-0.75154406,-0.36218992,-2.2000375
1523423970172,-0.7536746,-1.8407769,-2.3718114
1523423970195,-0.5049353,-3.4392064,-2.2953787
1523423970220,-0.16618125,-3.7657099,-1.9744676
1523423970245,0.2615224,-3.5025895,-1.4088123
1523423970269,0.6263755,-3.0290794,-0.5954828
1523423970294,0.9824402,-3.8791604,0.13768543
1523423970322,1.4069481,-3.8546593,0.5906891
1523423970346,1.4775218,-1.3965617,0.5840312
1523423970369,0.07536746,-0.40852892,-0.1257012
1523423970396,-0.7097325,0.9006811,-0.65859973
1523423970418,0.18402444,0.58696073,-0.36804888
1523423970440,-0.8511463,1.4322481,-1.0580739
1523423970463,1.835717,0.8841695,-0.57604176
1523423970487,-0.6660566,0.62531024,-0.62238073
1523423970512,1.6519588,3.8344195,0.32037827
1523423970536,1.8919097,2.3920512,2.3236082
1523423970560,1.1462245,0.69668293,2.8192225
1523423970584,1.6759273,0.5933523,1.7504958
1523423970617,2.2178805,0.716923,2.1872542
1523423970633,2.3608923,0.34834146,2.338788
1523423970657,2.1145499,1.0583402,2.0138824
1523423970682,1.6218652,1.1691277,1.6698021
1523423970706,1.1707256,0.757403,1.8098843
1523423970731,0.62557656,1.0652645,1.9875171
1523423970755,0.24208134,1.4397049,1.6759273
1523423970779,-0.005060006,1.3267869,0.59761333
1523423970804,-0.4564658,1.1835088,0.02743056
1523423970827,-1.0442255,1.3006879,-0.8290421
1523423970852,-1.4189322,0.72437984,-1.6602147
1523423970877,-1.4887071,-0.27004454,-2.624279
1523423970920,-1.9337213,-0.6423545,-2.7100327
1523423970927,-2.5505095,0.37230992,-2.94519
1523423970951,-2.0501015,0.21731395,-2.4740767
1523423970975,-1.6476978,0.75420725,-2.112153
1523423970999,-1.5480956,-0.644485,-2.1864552
1523423971023,-1.35475,-2.1747375,-2.164351
1523423971048,-0.46205845,-2.4133565,-1.8634138
1523423971074,0.062051654,-1.9350529,-1.3981596
1523423971098,0.257794,-1.7747306,-0.7203851
1523423971136,0.6239787,-2.0644825,0.083090626
1523423971149,1.0847056,-2.0953753,0.984837
1523423971172,1.6415725,-1.401888,1.2428973
1523423971215,1.22319,-0.479369,0.42264366
1523423971222,0.06950851,-0.6593987,0.6575345
1523423971245,-0.16165388,-0.2514024,0.04474111
1523423971269,-0.11265171,0.2561961,-0.42264366
1523423971293,1.2799152,0.5800365,0.8162589
1523423971317,0.48709217,0.022370555,3.3340113
1523423971345,1.4157364,0.47351006,1.8061559
1523423972078,2.4738104,1.808819,1.149953
1523423972098,2.314287,0.99548966,1.0426276
1523423972119,1.6098809,0.43303,0.70147663
1523423972128,0.13102753,0.20985709,-4.034423
1523423972136,0.6402239,-1.0365024,-3.9249668
1523423972154,1.6152072,-2.0916467,-3.6048548
1523423972158,0.7057377,-1.320928,-2.6421223
1523423972188,-1.2687299,1.2591426,-2.3659523
1523423972198,-1.4117417,0.48469532,-2.3651533
1523423972220,-0.29348037,-1.3401027,-2.6296053
1523423972245,0.5049353,-0.5422196,-3.235741
1523423972270,0.9531454,0.9864349,-3.153449
1523423972295,0.29987195,0.87831056,-3.2908683
1523423972320,-1.4226607,0.34940675,-3.2820797
1523423972347,-0.8428905,-1.3070794,-2.0961742
1523423972371,1.098554,-0.30253512,-1.5134745
1523423972396,1.3054816,-0.26844665,-0.92065483
1523423972420,0.6362292,-0.267914,0.12463594
1523423972445,0.3187804,0.62584287,0.2876214
1523423972469,-0.43729106,1.087635,0.25832662
1523423972496,-0.35659727,0.56725335,0.5502091
1523423972519,0.24554345,-0.47297743,0.4101268
1523423972545,0.7339672,0.9129316,0.38109836
1523423972571,0.4261058,1.0977551,0.53316486
1523423972596,-0.21331921,-0.13954964,0.4577974
1523423972621,-0.23489082,-0.99548966,0.05566007
1523423972647,0.5800365,-0.81226414,0.13981596
1523423972768,0.9416938,-0.19281286,0.20905815
1523423972792,0.7755125,0.3190467,0.35553202
1523423972847,0.7597999,0.19600865,0.1834918
1523423972862,0.92651373,-0.06657903,0.2082592
1523423972922,0.84581995,-0.62104917,0.3898868
1523423972928,0.59787965,-0.97951066,0.42557314
1523423972929,0.38482678,-0.68656296,0.32863408
1523423972937,0.09933591,0.035153728,0.107858025
1523423972941,0.16564862,-0.11132014,-0.21038973
1523423972945,-0.04314321,-0.25992453,-0.5020059
1523423972950,0.006924219,-0.2545982,-0.41785
1523423972955,0.20426446,-0.16405073,-0.33156356
1523423972984,0.28655612,0.1571265,-0.46871635
1523423972997,-0.17763285,0.8111989,-0.994158
1523423973060,-0.7749799,0.0031957934,-1.1318434
1523423973080,-0.4066647,-1.794438,-0.9190569
1523423973150,0.2428803,-1.1318434,-0.829841
1523423973171,-0.32676986,0.39521313,-0.57817227
1523423973182,-0.3502057,0.3882889,-0.42344263
1523423973189,-0.0777643,-0.06924219,-0.32330775
1523423973224,0.15100123,0.09267801,-0.31185618
1523423973228,0.6492787,0.8330368,-0.18242654
1523423973233,0.50839746,1.051416,0.14354439
1523423973255,-0.28842035,1.3731259,0.49801114
1523423973260,-0.24607609,0.829841,0.5763081
1523423973287,0.14966966,5.326322E-4,0.3587278
1523423973334,0.100933805,0.15499598,0.43382895
1523423973338,0.22370553,0.64821345,0.23382555
1523423973375,-0.13289174,0.29933932,0.033289514
1523423973405,-0.15819177,-0.6535397,-0.013848438
1523423973412,0.29188246,-0.11717909,0.3749731
1523423973454,-0.123836994,0.644485,0.9190569
1523423973502,0.094808534,0.809601,0.5885586
1523423973506,0.12436963,-0.48735848,-0.29507825
1523423973515,-0.06791061,-0.03781689,0.20852552
1523423973567,0.32730252,0.6780408,1.1422298
1523423973598,0.22397186,1.0695255,1.4652712
1523423973704,0.49881008,0.8042747,0.7235809
1523423973710,1.1001519,0.7126619,0.19361182
1523423973724,1.3422332,0.598146,0.21491711
1523423973736,0.73103774,0.15073492,0.695884
1523423973749,0.6468818,-0.48735848,0.77151775
1523423973863,1.7315874,0.20293288,0.79042625
1523423973870,-0.30040458,0.3355583,0.36724994
1523423973874,-1.4828482,0.07403588,0.33742252
1523423973883,-1.0154634,-0.040480047,-0.0127831735
1523423973896,0.043942157,-0.042077947,-0.46205845
1523423973917,0.28043085,-0.18216023,-0.3371562
1523423973924,0.608266,0.330232,-0.40053943
1523423973958,-0.46365637,-0.8974853,-0.8695221
1523423973965,-1.4266554,-2.160889,-1.5225292
1523423973969,-1.861017,-3.0583742,-1.503887
1523423973982,-1.861017,-2.7957866,-1.5843146
1523423974061,-1.3390374,-1.2985574,-1.572064
1523423974065,-0.4908206,-0.9331717,-0.5952165
1523423974073,0.06391586,-1.1819109,0.098004326
1523423974077,-0.83543366,-0.8974853,0.38775626
1523423974087,-1.4032196,0.64714813,1.0213223
1523423974140,-0.5696502,1.3795174,0.79442096
1523423974142,0.16165388,0.7414241,0.29880667
1523423974153,0.748082,-0.29454562,-0.073236935
1523423974208,1.0961571,-0.3392867,-0.1949434
1523423974223,0.7057377,-0.20240025,0.4412858
1523423974293,0.572047,-0.26525086,0.066046394
1523423974301,0.78589886,0.17736652,0.2034655
1523423974343,-0.042077947,-0.13315806,-0.4045342
1523423974352,-0.63862604,-0.49747851,-0.515588
1523423974406,-0.9651296,-0.99708754,-0.36778256
1523423974414,-0.5478122,-0.9821738,-0.4857606
1523423974465,-0.52863747,0.5837649,-0.06524745
1523423974520,-0.17124127,0.45699844,-0.03781689
1523423974529,0.0127831735,-0.6327671,-0.2793656
1523423974585,0.0127831735,-0.38775626,-0.049801115
1523423974597,-0.12250541,0.43196473,0.08522116
1523423974642,0.4530037,-1.200553,-0.1933455
1523423974675,0.6823019,-1.0924287,-0.40932786
1523423974681,-0.27137613,0.21944448,-0.24900557
1523423974717,-0.45247108,-0.44048685,-0.3797668
1523423974752,-0.05752428,0.2727077,-0.21225394
1523423974789,-0.3158509,-0.15286545,-0.054328486
1523423974817,-1.1976236,-0.33662358,-0.2561961
1523423974870,-0.6892261,-0.009054748,-0.13369069
1523423974912,0.09773801,0.054328486,0.06258429
1523423974921,0.10173275,0.23808661,-0.06870956
1523423974965,0.18295917,0.35473305,-0.15073492
1523423974973,0.5707154,0.34567833,-0.061519023
1523423975016,0.8378305,0.27377295,0.0479369
1523423975027,0.5302354,0.10439592,-0.14168017
1523423975076,0.1307612,-0.060720075,-0.11132014
1523423975085,0.50626695,0.12357068,-0.08442221
1523423975089,0.6644587,0.25300032,0.07137272
1523423975137,0.8841695,-0.0010652645,0.08016115
1523423975147,1.3779196,0.44581318,0.10705908
1523423975152,1.7768611,1.0950918,-0.08282431
1523423975217,1.1899004,0.7882957,-0.43303
1523423975223,0.19787288,1.1291803,0.10519487
1523423975227,-0.17603496,0.87351686,0.15259913
1523423975262,-0.42024684,-1.2202604,0.014647386
1523423975296,-0.69774824,-1.6117451,-0.11504856
1523423975302,-0.22077605,0.6263755,0.32117724
1523423975332,-0.16990969,1.2703278,0.49721217
1523423975360,-0.7800399,0.28229508,0.00958738
1523423975392,-0.8527442,-0.96086854,-0.31957933
1523423975398,-0.44421527,-0.18322548,-0.46658584
1523423975441,-0.34887412,0.21997711,0.17816548
1523423975471,-0.090014845,-0.101200126,-0.047404267
1523423975476,0.71612406,-0.43782368,-0.22370553
1523423975506,0.4910869,0.15233281,0.1667139
1523423975539,0.1486044,0.2514024,0.4098605
1523423975574,0.36911413,0.036751624,-0.252734
1523423975578,0.53476274,0.69721556,-0.22876555
1523423975608,0.5403554,0.6199839,0.2775014
1523423975638,0.40906155,-0.27537087,0.0026631611
1523423975671,0.5856291,-0.091080114,-0.48815745
1523423975676,0.26525086,0.06977482,-0.67990506
1523423975726,-0.5432849,0.015446335,-0.42317632
1523423975731,-0.6841661,-0.17417073,-0.22104238
1523423975764,-0.34567833,-0.257794,-0.39707732
1523423975777,0.041012682,0.025566347,-0.1784318
1523423975819,0.69774824,0.8271778,0.41944787
1523423975830,0.28495824,0.55766594,0.24820662
1523423975881,-0.13475595,-0.65726817,-0.28202876
1523423975885,0.9845707,-0.37017938,0.13475595
1523423975972,0.81066626,-0.18535602,0.3057309
1523423975979,-0.5390238,0.0063915867,-0.020772656
1523423976065,-0.6804377,-0.2396845,-0.13688648
1523423976107,0.5659217,-0.33182988,0.23568976
1523423976115,0.91346425,-0.3552657,0.07669904
